host_since,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price,has_availability,availability_30,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
2012-03-15,100%,96%,t,River Arts District,3,6,t,f,Fort Lauderdale,26.11755,-80.15623,Entire home,Entire home/apt,3,1.0,1 bath,1.0,1.0,$118.00,t,30,62,12,0,2013-12-01,2024-05-01,4.87,4.79,4.76,4.87,4.95,4.76,4.69,f,1,1,0,0,0.48
2013-04-21,100%,80%,f,,1,3,t,f,Hollywood,26.01865,-80.16066,Entire home,Entire home/apt,7,2.0,2 baths,4.0,3.0,$199.00,t,30,143,5,0,2013-07-08,2024-03-15,4.64,4.65,4.55,4.86,4.9,4.55,4.55,f,1,1,0,0,1.07
2013-04-28,100%,100%,t,,2,2,t,t,Lauderdale By The Sea,26.19678,-80.09716,Entire condo,Entire home/apt,4,1.0,1 bath,1.0,3.0,$101.00,t,30,120,11,0,2014-05-11,2024-05-03,4.56,4.69,4.43,4.89,4.8,4.88,4.61,f,2,2,0,0,0.97
2013-04-28,100%,100%,t,,2,2,t,t,Lauderdale By The Sea,26.19217,-80.09839,Entire condo,Entire home/apt,4,1.0,1 bath,1.0,2.0,$98.00,t,30,93,4,0,2013-05-25,2024-04-10,4.32,4.53,4.43,4.73,4.71,4.87,4.33,f,2,2,0,0,0.69
2013-05-08,100%,99%,t,Hollywood South Central Beach,6,7,t,t,Hollywood,26.00715,-80.11813,Entire rental unit,Entire home/apt,5,3.0,3 baths,3.0,3.0,$248.00,t,7,24,3,0,2020-05-17,2024-04-06,4.92,4.96,4.92,5.0,4.96,5.0,4.79,f,5,5,0,0,0.48
2013-05-09,100%,100%,f,,1,1,t,t,Oakland Park,26.16956,-80.13086,Entire guest suite,Entire home/apt,4,1.0,1 bath,1.0,3.0,$171.00,t,26,203,4,0,2013-05-31,2024-03-25,4.87,4.88,4.77,4.97,4.96,4.86,4.84,t,1,1,0,0,1.51
2013-05-17,100%,98%,t,Hollywood South Central Beach,3,3,t,t,Hollywood,25.9898,-80.11838,Entire condo,Entire home/apt,4,1.0,1 bath,1.0,3.0,$160.00,t,3,150,10,2,2014-08-31,2024-06-23,4.77,4.83,4.73,4.55,4.89,4.93,4.74,f,2,2,0,0,1.25
2013-06-07,100%,50%,f,,1,2,t,f,Hollywood,26.00989,-80.13893,Entire home,Entire home/apt,5,1.0,1 bath,2.0,3.0,$185.00,t,30,1,0,0,2015-07-03,2015-07-03,2.0,3.0,4.0,4.0,3.0,4.0,2.0,f,1,1,0,0,0.01
2013-05-10,100%,88%,t,,1,1,t,t,Hallandale Beach,25.9866,-80.11803,Entire condo,Entire home/apt,6,2.0,2 baths,2.0,3.0,$207.00,t,0,302,24,2,2013-07-16,2024-06-25,4.88,4.93,4.85,4.96,4.98,4.88,4.8,f,1,1,0,0,2.27
2012-07-22,100%,71%,t,Hollywood South Central Beach,2,2,t,t,Hollywood,25.9942,-80.11883,Entire condo,Entire home/apt,4,1.5,1.5 baths,1.0,2.0,$83.00,t,3,8,2,0,2014-05-02,2024-04-03,4.5,5.0,4.75,5.0,5.0,5.0,5.0,f,2,2,0,0,0.06
2013-06-25,100%,100%,t,Hollywood South Central Beach,3,3,t,t,Hollywood,25.98839,-80.11767,Entire condo,Entire home/apt,4,1.0,1 bath,1.0,2.0,$155.00,t,3,61,24,0,2022-06-12,2024-05-27,4.8,4.8,4.77,4.67,4.85,4.85,4.7,f,1,1,0,0,2.45
2013-05-03,86%,7%,f,Brickell,19,22,t,t,Plantation,26.12531,-80.32422,Entire condo,Entire home/apt,4,2.0,2 baths,2.0,4.0,$117.00,t,2,78,1,0,2013-10-29,2023-07-01,4.71,4.83,4.75,4.87,4.91,4.86,4.75,f,4,3,1,0,0.6
2011-10-17,94%,98%,t,,7,10,t,t,Hollywood,26.02767,-80.14192,Entire home,Entire home/apt,2,1.0,1 bath,1.0,1.0,$60.00,t,30,243,29,2,2014-07-27,2024-06-10,4.81,4.84,4.86,4.85,4.88,4.66,4.79,f,4,4,0,0,2.01
2013-07-13,100%,100%,f,,1,1,t,t,Hollywood,26.02302,-80.11658,Entire condo,Entire home/apt,4,1.0,1 bath,1.0,2.0,,t,20,33,0,0,2015-12-06,2022-07-30,4.85,4.91,4.97,4.94,4.94,4.91,4.76,f,1,1,0,0,0.32
2011-03-21,100%,98%,f,,17,20,t,t,Dania Beach,26.0339584,-80.14204149999999,Entire rental unit,Entire home/apt,6,2.0,2 baths,2.0,5.0,$106.00,t,16,44,7,0,2014-02-25,2024-03-30,4.52,4.5,4.39,4.77,4.77,4.64,4.48,f,10,10,0,0,0.35
2013-08-19,,50%,f,,2,3,t,t,Hollywood,25.99644,-80.11963,Entire rental unit,Entire home/apt,4,1.5,1.5 baths,1.0,3.0,$184.00,t,12,45,3,0,2013-10-15,2024-03-24,4.89,4.87,4.87,4.93,4.96,4.75,4.82,f,1,1,0,0,0.35
2013-08-21,,100%,f,,1,1,t,f,Hollywood,26.048735,-80.113045,Entire home,Entire home/apt,5,2.0,2 baths,2.0,2.0,$350.00,t,0,39,5,0,2013-11-10,2023-11-18,4.95,4.95,4.9,5.0,5.0,4.97,4.87,f,1,1,0,0,0.3
2012-03-20,100%,56%,t,,1,1,t,t,Deerfield Beach,26.31989,-80.09157,Entire home,Entire home/apt,10,2.5,2.5 baths,4.0,6.0,$275.00,t,29,117,7,0,2013-12-10,2024-05-27,4.77,4.79,4.59,4.88,4.82,4.75,4.7,f,1,1,0,0,0.91
2013-09-09,100%,100%,f,,1,1,t,t,Pompano Beach,26.22799,-80.08983,Entire townhouse,Entire home/apt,6,3.5,3.5 baths,3.0,8.0,$446.00,t,9,7,1,0,2020-12-09,2024-05-17,4.71,5.0,5.0,5.0,4.71,4.86,4.71,f,1,1,0,0,0.16
2013-09-12,100%,86%,t,Hollywood South Central Beach,14,47,t,t,Hollywood,25.98869,-80.11806,Entire condo,Entire home/apt,4,1.0,1 bath,1.0,2.0,$193.00,t,0,28,1,0,2014-01-17,2024-04-05,4.57,4.46,4.39,4.5,4.61,4.89,4.5,f,10,10,0,0,0.22
2013-09-12,67%,5%,f,Sunny Isles Beach,16,22,t,f,Hallandale Beach,25.98492,-80.11828,Entire rental unit,Entire home/apt,6,2.0,2 baths,2.0,2.0,$300.00,t,28,0,0,0,,,,,,,,,,f,5,5,0,0,
2013-09-12,67%,5%,f,Sunny Isles Beach,16,22,t,f,Hallandale Beach,25.98434,-80.11801,Entire rental unit,Entire home/apt,6,3.0,3 baths,3.0,4.0,$750.00,t,23,0,0,0,,,,,,,,,,f,5,5,0,0,
2013-09-12,67%,5%,f,Sunny Isles Beach,16,22,t,f,Hollywood,25.9873,-80.11862,Entire rental unit,Entire home/apt,6,2.0,2 baths,2.0,5.0,$250.00,t,27,0,0,0,,,,,,,,,,f,5,5,0,0,
2010-09-11,100%,80%,t,,1,1,t,f,Hollywood,26.02797806147811,-80.11610635123377,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,$75.00,t,2,123,15,1,2013-12-11,2024-06-09,4.85,4.93,4.84,4.94,4.93,4.95,4.92,f,1,1,0,0,0.96
2015-08-27,100%,95%,t,,2,2,t,t,Lauderdale By The Sea,26.21158,-80.0918,Entire rental unit,Entire home/apt,2,1.0,1 bath,0.0,1.0,$150.00,t,26,81,8,0,2013-11-26,2024-04-26,4.76,4.76,4.81,4.87,4.85,4.86,4.71,f,1,1,0,0,0.63
2013-10-03,86%,33%,f,,1,3,t,t,North Lauderdale,26.21774,-80.22545,Private room in home,Private room,2,1.5,1.5 baths,1.0,1.0,$45.00,t,20,1,0,0,2020-01-12,2020-01-12,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,1,0,1,0,0.02
2013-05-03,86%,7%,f,Brickell,19,22,t,t,Plantation,26.12964,-80.31767,Entire condo,Entire home/apt,4,2.0,2 baths,2.0,3.0,$110.00,t,30,26,0,0,2014-01-08,2018-11-17,4.84,4.84,4.8,4.8,4.76,4.68,4.72,f,4,3,1,0,0.2
2013-10-20,100%,90%,f,,2,11,t,t,Fort Lauderdale,26.20038,-80.12807,Entire home,Entire home/apt,6,3.0,3 baths,3.0,3.0,$392.00,t,30,37,8,0,2014-12-26,2024-05-18,4.51,4.65,4.73,4.76,4.89,4.84,4.59,f,1,1,0,0,0.32
2013-10-15,100%,71%,t,Coral Ridge Country Club,16,34,t,t,Lauderdale By The Sea,26.21847,-80.09601,Entire home,Entire home/apt,8,2.0,2 baths,3.0,5.0,$225.00,t,0,19,4,0,2014-07-11,2024-03-28,4.78,4.68,4.74,4.84,4.95,4.89,4.58,f,8,8,0,0,0.16
2012-06-20,100%,80%,t,,3,3,t,t,Oakland Park,26.172754287719727,-80.15001678466797,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,$72.00,t,30,513,10,1,2013-11-11,2024-06-11,4.92,4.95,4.95,4.96,4.92,4.78,4.87,f,3,3,0,0,3.97
2013-11-01,100%,0%,f,,1,1,t,t,Deerfield Beach,26.28451,-80.14504,Private room in townhouse,Private room,2,1.5,1.5 baths,1.0,1.0,$79.00,t,0,31,0,0,2013-12-31,2016-09-01,4.68,4.83,4.9,4.77,4.83,4.63,4.62,f,1,0,1,0,0.24
2013-11-07,100%,100%,f,,1,1,t,t,Pompano Beach,26.21766,-80.09986,Entire cottage,Entire home/apt,7,2.0,2 baths,3.0,4.0,$299.00,t,17,57,2,0,2015-02-15,2024-03-01,4.95,4.91,4.77,5.0,4.93,4.89,4.81,f,1,1,0,0,0.5
2011-09-06,100%,98%,t,Las Lomas I,9,13,t,t,Fort Lauderdale,26.12892,-80.1048,Entire serviced apartment,Entire home/apt,4,,2 baths,2.0,,,t,15,57,13,0,2014-12-12,2024-05-12,4.81,4.81,4.89,4.91,4.91,4.89,4.7,f,1,1,0,0,0.49
2010-07-18,100%,50%,f,,2,3,t,t,Fort Lauderdale,26.13233757019043,-80.13584899902344,Entire cottage,Entire home/apt,2,1.0,1 bath,1.0,1.0,$113.00,t,29,13,0,0,2013-12-31,2020-10-02,4.92,4.92,4.46,4.77,4.69,4.85,4.62,f,1,1,0,0,0.1
2013-03-29,,,f,,1,3,t,t,Miramar,25.97314,-80.20889,Entire rental unit,Entire home/apt,4,1.0,1 bath,0.0,3.0,$107.00,t,30,0,0,0,,,,,,,,,,t,1,1,0,0,
2013-09-12,100%,86%,t,Hollywood South Central Beach,14,47,t,t,Hollywood,25.98869,-80.11806,Entire condo,Entire home/apt,4,1.0,1 bath,1.0,3.0,$193.00,t,9,44,2,0,2015-04-08,2024-03-03,4.55,4.72,4.73,4.42,4.8,4.91,4.53,f,10,10,0,0,0.39
2013-11-11,100%,65%,f,,5,15,t,t,Hollywood,26.02424,-80.11634,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,1.0,$113.00,t,26,78,3,1,2014-01-03,2024-05-28,4.62,4.67,4.6,4.91,4.69,4.95,4.76,f,2,2,0,0,0.61
2013-11-11,100%,65%,f,,5,15,t,t,Hollywood,26.02468,-80.11625,Entire rental unit,Entire home/apt,2,1.0,1 bath,0.0,1.0,$92.00,t,24,115,1,0,2013-12-11,2024-04-17,4.53,4.7,4.5,4.7,4.63,4.89,4.64,f,2,2,0,0,0.9
2013-12-02,100%,59%,t,,6,8,t,t,Pembroke Pines,26.02633,-80.23914,Private room in home,Private room,1,2.0,2 shared baths,1.0,1.0,$53.00,t,10,52,6,1,2013-12-30,2024-05-30,4.9,4.98,4.96,4.94,4.96,4.9,4.92,f,4,0,4,0,0.41
2013-12-03,100%,0%,f,,1,2,t,t,Tamarac,26.22893,-80.26515,Private room in home,Private room,1,1.5,1.5 baths,1.0,1.0,$49.00,t,0,27,0,0,2014-02-01,2023-01-04,5.0,4.96,4.88,4.96,5.0,4.85,4.96,f,1,0,1,0,0.21
2013-12-07,100%,20%,f,,4,4,t,f,Hallandale Beach,25.9775,-80.12035,Entire condo,Entire home/apt,2,1.0,1 bath,2.0,2.0,$85.00,t,23,4,0,0,2015-03-01,2022-04-01,3.75,4.25,3.5,4.25,4.0,4.75,3.75,f,1,1,0,0,0.04
2013-12-09,100%,96%,t,,2,2,t,t,Weston,26.113089591147588,-80.36771870845996,Private room in townhouse,Private room,2,1.0,1 private bath,1.0,1.0,$73.00,t,0,120,24,0,2014-01-24,2024-05-05,4.82,4.83,4.88,4.82,4.84,4.87,4.75,f,2,0,2,0,0.95
2013-12-18,100%,94%,f,Hollywood South Central Beach,2,2,t,t,Hollywood,25.9877,-80.11907,Entire condo,Entire home/apt,6,1.5,1.5 baths,2.0,4.0,$230.00,t,3,116,11,1,2016-02-17,2024-06-18,4.62,4.76,4.66,4.79,4.78,4.76,4.59,f,2,2,0,0,1.14
2013-12-12,100%,91%,f,Galt Mile,3,3,t,t,Fort Lauderdale,26.17957,-80.09687,Entire condo,Entire home/apt,4,1.0,1 bath,1.0,1.0,$130.00,t,1,58,2,0,2014-02-08,2024-03-07,4.29,4.45,4.59,4.73,4.63,4.61,4.38,f,2,2,0,0,0.46
2013-12-24,100%,100%,,Durrs,6,7,t,t,Fort Lauderdale,26.09122,-80.18896,Entire home,Entire home/apt,10,2.0,2 baths,4.0,4.0,$183.00,t,9,219,30,2,2016-01-21,2024-06-08,4.55,4.59,4.5,4.82,4.74,4.72,4.57,f,5,5,0,0,2.13
2013-05-07,100%,95%,t,Country Wood Estates,7,9,t,t,Margate,26.24921,-80.22059,Entire home,Entire home/apt,8,2.0,2 baths,4.0,4.0,$291.00,t,5,76,4,2,2015-01-11,2024-06-17,4.76,4.83,4.89,4.88,4.84,4.62,4.59,t,5,5,0,0,0.66
2014-01-13,100%,100%,t,,1,1,t,t,Hollywood,25.9873,-80.11862,Entire rental unit,Entire home/apt,4,1.5,1.5 baths,2.0,3.0,$158.00,t,23,83,17,0,2015-01-15,2024-05-19,4.69,4.67,4.51,4.76,4.87,4.87,4.61,f,1,1,0,0,0.72
2014-01-21,100%,98%,t,East Fort Lauderdale,6,10,t,t,Lauderdale By The Sea,26.18779,-80.09628,Room in aparthotel,Entire home/apt,4,1.0,1 bath,1.0,2.0,$147.00,t,8,183,15,3,2016-07-14,2024-06-24,4.92,4.93,4.95,4.92,4.95,4.95,4.91,f,5,4,1,0,1.89
2014-01-22,100%,98%,t,North Central,5,5,t,t,Fort Lauderdale,26.20941,-80.11751,Entire rental unit,Entire home/apt,2,1.0,1 bath,0.0,1.0,$71.00,t,15,640,61,6,2014-03-17,2024-06-24,4.87,4.89,4.9,4.95,4.95,4.82,4.87,t,4,3,1,0,5.11
2014-01-23,,,f,Hollywood Beach,1,1,t,t,Hollywood,26.0119,-80.11684,Entire condo,Entire home/apt,4,1.0,1 bath,0.0,3.0,$105.00,t,0,60,0,0,2020-11-25,2022-08-05,4.4,4.58,4.28,4.37,4.5,4.67,4.5,t,1,1,0,0,1.37
2014-01-30,100%,83%,t,,1,1,t,t,Hollywood,26.00088119506836,-80.13599395751953,Private room in home,Private room,2,1.0,1 private bath,1.0,1.0,$75.00,t,23,84,23,0,2020-01-04,2024-05-06,4.82,4.83,4.92,4.92,4.86,4.88,4.74,f,1,0,1,0,1.54
2013-12-02,100%,59%,t,,6,8,t,t,Pembroke Pines,26.02551,-80.23962,Private room in home,Private room,2,2.0,2 shared baths,1.0,1.0,$53.00,t,0,11,1,0,2014-04-20,2024-03-15,4.73,4.82,4.82,5.0,4.91,4.45,4.73,f,4,0,4,0,0.09
2014-02-11,100%,100%,f,,2,2,t,t,Fort Lauderdale,26.1381,-80.11015,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,2.0,$116.00,t,22,95,4,0,2015-03-16,2024-03-30,4.71,4.65,4.59,4.82,4.9,4.83,4.6,f,2,2,0,0,0.84
2013-09-12,100%,86%,t,Hollywood South Central Beach,14,47,t,t,Hollywood,25.98869,-80.11806,Entire condo,Entire home/apt,6,2.0,2 baths,2.0,5.0,$269.00,t,10,33,0,0,2015-01-06,2022-04-23,4.61,4.84,4.72,4.73,4.82,4.76,4.7,t,10,10,0,0,0.29
2014-02-22,,,f,,2,3,t,t,Deerfield Beach,26.30387,-80.0884,Entire home,Entire home/apt,10,5.0,5 baths,8.0,7.0,$433.00,t,30,2,0,0,2014-04-16,2015-01-04,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,2,2,0,0,0.02
2014-02-22,,,f,,2,3,t,t,Parkland,26.32728,-80.27905,Entire home,Entire home/apt,14,5.0,5 baths,7.0,7.0,$499.00,t,30,3,0,0,2014-04-01,2017-03-17,5.0,3.67,5.0,5.0,5.0,5.0,5.0,f,2,2,0,0,0.02
2014-02-24,100%,100%,t,,5,5,t,t,Hillsboro Beach,26.3043,-80.07796,Entire cottage,Entire home/apt,3,1.0,1 bath,1.0,1.0,$177.00,t,14,29,3,0,2017-04-24,2024-05-22,4.97,4.97,4.97,5.0,5.0,4.83,4.93,f,5,5,0,0,0.33
